<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAA,20120411,21.7,21.9,21,21.6,312900
ACB,20120411,25.2,25.8,25.2,25.6,743400
ADC,20120411,8.7,8.7,8.7,8.7,1000
AGC,20120411,3.1,3.2,3.1,3.2,47700
ALT,20120411,10.8,10.8,10.6,10.7,3100
ALV,20120411,5.2,5.4,5.2,5.3,12100
AMC,20120411,15.7,0,0,15.7,0
AME,20120411,3.3,3.3,2.9,3.3,11900
AMV,20120411,4.4,4.5,4.3,4.5,9700
APG,20120411,4.6,4.7,4.4,4.7,60800
API,20120411,4.5,4.7,4.5,4.7,410500
APP,20120411,11.5,0,0,11.5,0
APS,20120411,5.1,5.1,4.8,5,1149700
ARM,20120411,15,15,15,15,2100
ASA,20120411,14.3,0,0,14.3,0
AVS,20120411,5,5.1,4.9,5.1,1236500
B82,20120411,9.8,9.9,9.8,9.9,1200
BBS,20120411,7.1,7.3,7.1,7.3,300
BCC,20120411,4.7,4.9,4.7,4.9,872500
BDB,20120411,6.2,6.2,6.2,6.2,1000
BED,20120411,11,0,0,11,0
BHC,20120411,4.7,4.7,4.5,4.5,700
BHT,20120411,8.4,8.4,8.4,8.4,400
BHV,20120411,13.2,0,0,13.2,0
BKC,20120411,10,10.4,10,10.4,153600
BLF,20120411,4.6,4.6,4.5,4.5,15600
BPC,20120411,7.5,7.8,7.5,7.7,4700
BSC,20120411,7.9,0,0,7.9,0
BST,20120411,9.8,9.8,9.8,9.8,200
BTH,20120411,6.6,6.6,5.8,6.6,5000
BTS,20120411,4.4,4.6,4.4,4.5,20800
BVG,20120411,3.8,3.9,3.8,3.9,10900
BVS,20120411,15.5,16.1,15.3,15.7,1261800
BXH,20120411,14.2,0,0,14.2,0
C92,20120411,9,9.5,9,9.5,16500
CAN,20120411,31.6,33.8,31,33.8,3700
CAP,20120411,24.3,24.3,24.3,24.3,13400
CCM,20120411,9.7,9.8,9,9.7,27500
CIC,20120411,4.1,4.3,4.1,4.3,106700
CID,20120411,7.7,0,0,7.7,0
CJC,20120411,18.5,0,0,18.5,0
CKV,20120411,7,7.1,7,7.1,4100
CMC,20120411,5.3,5.5,5.3,5.5,39300
CMI,20120411,4.9,5,4.6,4.9,50000
CMS,20120411,9.5,9.5,9.5,9.5,1600
CPC,20120411,12.2,12.4,12,12.4,25400
CSC,20120411,10,10.4,10,10.4,5800
CT6,20120411,10,10.1,10,10.1,1400
CTA,20120411,4.9,4.9,4.5,4.7,34900
CTB,20120411,17,17,17,17,1900
CTC,20120411,7,7.2,7,7.2,24400
