Symbol	BuyOrders	BuyQuantity	SellOrders	SellQuantity		
ABT	51	"89,270"	66	"112,930"		
ACL	46	"88,250"	53	"40,140"		
AGF	105	"416,770"	117	"202,170"		
ALP	82	"213,720"	71	"158,860"		
ALT	21	"7,640"	35	"15,080"		
ANV	206	"737,940"	151	"256,160"		
ASP	141	"314,010"	73	"172,630"		
BAS	8	"4,070"	16	"4,960"		
BBC	185	"479,450"	104	"351,200"		
BBT	15	"30,930"	32	"42,600"		
BCI	292	"1,449,690"	275	"786,870"		
BHS	9	"10,750"	24	"22,060"		
BMC	165	"125,650"	169	"124,480"		
BMI	144	"230,340"	59	"143,620"		
BMP	100	"428,150"	15	"12,520"		
BPC	18	"37,710"	30	"30,400"		
BT6	40	"17,880"	31	"7,260"		
BTC	11	"6,270"	10	"4,850"		
CAD	38	"103,120"	57	"143,880"		
CAN	26	"51,070"	48	"51,520"		
CII	122	"665,380"	50	"108,330"		
CLC	16	"58,730"	16	"20,050"		
CNT	48	"115,160"	73	"118,970"		
COM	24	"17,930"	28	"26,820"		
CYC	41	"51,000"	28	"35,070"		
DCC	34	"40,410"	42	"41,670"		
DCL	77	"98,710"	45	"109,410"		
DCT	128	"434,840"	149	"554,690"		
DDM	109	"138,180"	61	"83,420"		
DHA	75	"215,510"	84	"148,290"		
DHG	71	"29,370"	93	"41,670"		
DIC	72	"130,200"	95	"174,310"		
DMC	44	"37,120"	43	"32,850"		
DNP	58	"152,910"	50	"89,680"		
DPC	20	"22,450"	21	"16,200"		
DPM	671	"2,601,660"	992	"1,672,610"		
DPR	77	"176,950"	32	"67,640"		
DQC	378	"866,730"	330	"755,590"		
DRC	183	"729,340"	36	"18,680"		
DTT	57	"80,920"	32	"45,080"		
DXP	64	"60,840"	76	"106,510"		
DXV	62	"134,930"	64	"68,400"		
FBT	25	"34,850"	25	"40,920"		
FMC	47	"77,320"	70	"173,950"		
FPC	5	760	19	"8,050"		
FPT	614	"2,691,390"	667	"1,032,650"		
GIL	118	"368,620"	73	"125,320"		
GMC	44	"105,340"	19	"15,670"		
GMD	196	"1,474,090"	28	"69,790"		
GTA	45	"34,190"	22	"20,470"		
HAG	416	"809,880"	291	"813,800"		
HAP	202	"758,760"	238	"501,320"		
HAS	67	"173,740"	77	"153,910"		
HAX	26	"42,880"	24	"12,740"		
HBC	239	"714,940"	183	"501,660"		
HBD	13	"3,640"	13	"5,110"		
HDC	45	"68,630"	65	"50,200"		
HLA	208	"574,030"	234	"711,430"		
HMC	41	"82,270"	61	"83,590"		
HPG	737	"2,968,810"	400	"1,692,760"		
HRC	103	"199,540"	79	"105,300"		
HSG	213	"1,027,060"	237	"530,600"		
HSI	47	"86,300"	33	"54,040"		
HT1	101	"136,420"	59	"108,860"		
HT2	116	"219,590"	107	"213,410"		
HTV	73	"99,020"	50	"79,470"		
ICF	123	"279,160"	119	"257,260"		
IFS	114	"538,950"	30	"24,960"		
IMP	62	"87,080"	93	"76,020"		
ITA	673	"2,434,960"	504	"1,228,270"		
KDC	154	"636,580"	225	"551,850"		
KHA	140	"265,430"	140	"371,110"		
KHP	61	"91,410"	106	"148,720"		
KMR	83	"158,830"	109	"248,490"		
KSH	14	"6,830"	29	"34,780"		
L10	24	"16,850"	42	"48,790"		
LAF	221	"688,210"	158	"275,520"		
LBM	172	"276,210"	106	"186,560"		
LCG	165	"791,400"	111	"385,550"		
LGC	38	"111,220"	50	"100,070"		
LSS	78	"409,960"	43	"53,550"		
MAFPF1	83	"263,520"	103	"277,430"		
MCP	40	"73,250"	35	"57,750"		
MCV	126	"208,570"	121	"178,950"		
MHC	83	"199,330"	83	"193,340"		
MPC	90	"424,920"	140	"251,570"		
MTG	31	"34,550"	22	"44,210"		
NAV	61	"69,770"	56	"80,600"		
NBB	122	"291,230"	114	"356,330"		
NHC	29	"25,580"	43	"28,410"		
NKD	109	"661,800"	24	"23,140"		
NSC	64	"210,790"	39	"142,290"		
NTL	94	"215,120"	88	"99,990"		
OPC	118	"365,900"	102	"129,670"		
PAC	30	"78,600"	46	"70,050"		
PET	271	"639,850"	201	"327,030"		
PGC	147	"364,930"	149	"261,510"		
PIT	246	"293,730"	141	"298,920"		
PJT	26	"36,850"	51	"46,420"		
PMS	24	"11,260"	34	"16,340"		
PNC	72	"157,580"	52	"124,410"		
PNJ	256	"297,330"	215	"246,000"		
PPC	242	"2,198,360"	280	"495,520"		
PRUBF1	200	"735,850"	213	"515,100"		
PTC	28	"30,200"	32	"29,120"		
PVD	163	"383,110"	190	"409,860"		
PVF	455	"1,512,370"	530	"1,093,490"		
PVT	713	"1,497,960"	905	"1,569,230"		
RAL	235	"383,290"	148	"411,280"		
REE	865	"4,099,780"	332	"552,060"		
RHC	83	"59,290"	32	"64,610"		
RIC	32	"67,410"	48	"35,300"		
SAF	10	"5,750"	12	"5,290"		
SAM	807	"3,189,790"	348	"731,350"		
SAV	31	"227,050"	58	"207,000"		
SBT	234	"621,370"	237	"724,580"		
SC5	84	"386,200"	45	"109,440"		
SCD	31	"41,430"	31	"51,810"		
SDN	5	"11,260"	18	"5,650"		
SFC	12	"4,230"	18	"8,010"		
SFI	316	"487,830"	74	"133,940"		
SFN	10	"8,210"	5	"2,400"		
SGC	24	"13,790"	31	"25,100"		
SGH	7	"2,030"	12	"5,970"		
SGT	44	"101,340"	71	"58,800"		
SHC	77	"72,780"	33	"46,640"		
SJ1	10	"5,500"	17	"11,560"		
SJD	44	"48,760"	42	"48,640"		
SJS	185	"974,390"	196	"290,450"		
SMC	87	"235,410"	106	"170,340"		
SSC	46	"218,830"	51	"58,470"		
SSI	"1,840"	"10,531,490"	524	"988,120"		
ST8	39	"89,030"	29	"19,480"		
STB	"3,191"	"16,570,940"	"3,084"	"8,515,510"		
SZL	39	"18,270"	42	"24,960"		
TAC	273	"630,870"	199	"301,750"		
TCM	213	"715,250"	125	"422,160"		
TCR	46	"87,800"	59	"84,090"		
TCT	174	"73,300"	74	"48,820"		
TDH	234	"591,210"	180	"269,540"		
TMC	11	"34,700"	33	"49,630"		
TMS	18	"4,530"	15	"8,880"		
TNA	16	"9,160"	23	"30,790"		
TNC	163	"551,230"	136	"259,380"		
TPC	194	"695,450"	103	"222,600"		
TRA	71	"36,250"	48	"63,610"		
TRC	151	"804,080"	34	"35,120"		
TRI	47	"48,490"	50	"59,360"		
TS4	137	"225,290"	97	"201,140"		
TSC	103	"138,300"	90	"158,250"		
TTC	59	"145,090"	55	"77,920"		
TTF	293	"1,044,310"	137	"488,970"		
TTP	66	"267,250"	73	"151,030"		
TYA	66	"103,500"	73	"96,510"		
UIC	39	"72,570"	38	"58,060"		
UNI	32	"61,410"	49	"71,030"		
VFC	69	"121,530"	69	"163,840"		
VFMVF1	449	"2,749,720"	402	"1,966,650"		
VFMVF4	338	"1,797,240"	298	"1,328,690"		
VGP	3	"2,300"	18	"11,140"		
VHC	23	"78,220"	9	"36,070"		
VHG	103	"262,990"	136	"293,960"		
VIC	194	"175,980"	190	"237,960"		
VID	76	"167,350"	111	"174,470"		
VIP	405	"1,246,220"	353	"735,340"		
VIS	50	"44,500"	79	"76,710"		
VKP	37	"95,930"	46	"88,590"		
VNA	88	"140,410"	79	"107,880"		
VNE	204	"567,860"	226	"683,740"		
VNM	141	"223,570"	219	"147,950"		
VNS	39	"163,250"	49	"108,440"		
VPK	25	"41,230"	30	"22,340"		
VPL	21	"103,050"	24	"6,990"		
VSC	47	"87,790"	48	"48,660"		
VSG	37	"50,810"	19	"39,510"		
VSH	143	"620,130"	178	"306,540"		
VST	411	"1,082,030"	322	"1,035,580"		
VTA	43	"37,610"	32	"51,800"		
VTB	23	"24,150"	30	"15,050"		
VTC	55	"69,930"	29	"57,200"		
VTO	621	"1,489,520"	321	"800,190"
