Symbol	BuyingOrders	BuyQuantity	SellingOrders	SellQuantity
				
				
ACB	"2,782"	"5,904,500"	"2,303"	"7,650,600"
AGC	48	"138,700"	33	"30,100"
B82	24	"35,600"	19	"19,500"
BBS	25	"79,900"	18	"13,700"
BCC	493	"2,742,500"	153	"374,600"
BHC	105	"141,500"	58	"194,100"
BHV	46	"23,800"	40	"19,900"
BLF	187	"1,308,000"	26	"19,300"
BST	6	"3,200"	6	"6,900"
BTH	16	"19,700"	12	"14,700"
BTS	292	"1,047,300"	124	"295,400"
BVS	"1,021"	"1,682,500"	803	"1,909,600"
C92	55	"107,700"	29	"68,900"
CAP	13	"13,400"	9	"6,700"
CCM	26	"27,000"	31	"35,800"
CDC	110	"192,300"	114	"179,700"
CIC	34	"104,300"	10	"7,900"
CID	34	"30,100"	15	"12,600"
CJC	22	"13,800"	4	"3,400"
CMC	64	"80,300"	40	"54,700"
CSG	262	"487,900"	245	"537,800"
CTB	6	"7,600"	15	"9,000"
CTC	17	"33,700"	6	"8,100"
CTN	180	"291,000"	94	"258,500"
DAC	48	"32,000"	28	"22,100"
DAE	39	"64,700"	28	"46,800"
DBC	177	"306,300"	171	"289,400"
DC4	44	"65,100"	45	"48,100"
DCS	83	"421,100"	19	"77,500"
DHI	28	"36,400"	17	"17,900"
DHT	26	"18,600"	32	"38,600"
DST	22	"21,200"	15	"10,600"
DTC	26	"12,800"	25	"13,000"
EBS	114	"502,700"	140	"191,800"
GHA	55	"103,900"	30	"30,300"
HAI	25	"30,900"	24	"29,500"
HBE	37	"26,700"	25	"14,500"
HCC	27	"16,000"	18	"25,200"
HCT	30	"28,500"	16	"22,600"
HEV	22	"50,600"	10	"28,200"
HHC	25	"39,000"	41	"28,000"
HJS	42	"53,200"	49	"64,700"
HLC	21	"25,100"	20	"25,000"
HLY	33	"16,600"	29	"19,400"
HNM	457	"669,000"	314	"631,300"
HPC	"1,026"	"1,246,900"	756	"1,598,700"
HPS	19	"31,300"	20	"4,600"
HSC				
HTP	17	"80,000"	14	"16,000"
HUT	56	"144,800"	23	"57,300"
HVT	23	"15,000"	4	"1,500"
ICG	225	"580,800"	199	"426,300"
ILC	76	"153,900"	48	"79,100"
KBC	"1,048"	"1,469,700"	795	"1,504,700"
KKC	209	"774,000"	107	"234,900"
KLS	"3,145"	"5,347,400"	"2,715"	"6,816,000"
KMF	138	"299,100"	58	"160,100"
L18	82	"165,300"	48	"88,000"
L43	47	"58,900"	36	"37,000"
L61	28	"57,500"	12	"9,300"
L62	22	"19,000"	8	"14,600"
LBE	21	"41,000"	16	"18,100"
LTC	40	"100,000"	26	"32,200"
LUT	48	"49,900"	27	"36,100"
MCO	15	"25,600"	7	"5,900"
MEC	45	"93,200"	32	"34,300"
MIC	24	"72,400"	12	"8,300"
MKV	47	"75,400"	30	"34,400"
MMC	31	"53,600"	20	"12,900"
NBC	131	"240,800"	125	"126,900"
NGC	6	"4,900"	11	"6,400"
NLC	85	"75,300"	55	"77,400"
NPS	16	"53,800"	21	"29,200"
NST	5	"2,100"	9	"5,900"
NTP	164	"496,800"	305	"489,900"
NVC	47	"52,500"	21	"29,000"
ONE	58	"77,300"	32	"65,500"
