Symbol	BuyingOrders	BuyQuantity	SellingOrders	SellQuantity				
				
AAM	39	"92,010"	51	"94,780"
ABT	19	"25,580"	27	"51,730"
ACL	98	"120,630"	73	"142,730"
AGD	57	"479,390"	12	"45,340"
AGF	15	"9,800"	23	"41,550"
AGR	84	"67,120"	65	"93,270"
ALP	121	"361,000"	181	"531,120"
ANV	171	"559,840"	379	"870,000"
APC	74	"118,880"	61	"201,230"
ASM	152	"277,400"	67	"198,320"
ASP	140	"267,300"	79	"362,330"
ATA	17	"22,210"	33	"34,230"
BAS	68	"153,690"	117	"139,680"
BBC	66	"40,980"	43	"29,970"
BCE	276	"333,700"	122	"882,430"
BCI	61	"227,340"	56	"235,480"
BHS	25	"35,150"	61	"82,730"
BMC	36	"29,770"	57	"30,440"
BMI	67	"41,380"	27	"22,310"
BMP	49	"89,370"	80	"71,830"
BT6	5	"5,650"	13	"7,670"
BTP	222	"495,810"	112	"396,320"
BTT	39	"63,820"	30	"53,150"
BVH	159	"337,450"	136	"167,000"
CAD	158	"348,260"	123	"311,920"
CCI	37	"66,790"	44	"37,170"
CII	199	"641,250"	209	"624,040"
CLC	21	"29,820"	13	"21,290"
CMG	34	"18,410"	49	"39,340"
CMT	66	"40,150"	37	"85,560"
CMV	3	520	24	"36,000"
CNT	29	"7,020"	40	"31,430"
COM	4	"2,600"	13	"6,080"
CSG	144	"307,980"	117	"264,770"
CSM	92	"75,080"	69	"88,640"
CTD	28	"59,050"	31	"31,760"
CTG	103	"188,150"	137	"141,430"
CTI	139	"736,480"	135	"475,990"
CYC	35	"14,860"	45	"23,760"
D2D	35	"104,390"	46	"78,350"
DAG	69	"132,670"	63	"92,310"
DCC	9	"3,240"	7	"3,720"
DCL	32	"24,840"	21	"35,060"
DCT	264	"705,590"	172	"528,670"
DDM	164	"415,120"	93	"224,580"
DHA	63	"101,050"	61	"138,090"
DHC	258	"1,030,260"	230	"849,840"
DHG	35	"47,490"	37	"30,990"
DIC	582	"2,589,210"	644	"1,545,740"
DIG	92	"493,600"	120	"271,350"
DLG	290	"705,790"	140	"687,380"
DMC	72	"92,500"	76	"102,630"
DPM	241	"770,230"	283	"629,320"
DPR	25	"69,460"	37	"45,650"
DQC	268	"340,710"	124	"388,200"
DRC	71	"103,560"	83	"68,240"
DTL	63	"228,970"	116	"284,460"
DTT	180	"665,020"	417	"1,010,530"
DVD	6	"43,000"	34	"58,540"
DVP	13	"14,800"	12	"13,000"
DXG	121	"120,810"	36	"75,170"
DXV	140	"874,310"	150	"585,300"
EIB	171	"1,083,850"	380	"1,447,240"
FBT	58	"97,990"	38	"46,250"
FDC	306	"2,447,060"	194	"832,610"
FMC	30	"60,110"	45	"90,630"
FPC				
FPT	126	"205,470"	82	"144,090"
GDT	73	"136,590"	38	"66,790"
GIL	29	"25,310"	35	"51,220"
GMC	141	"233,110"	53	"107,460"
GMD	186	"386,320"	124	"315,570"
GTA	97	"335,510"	101	"218,460"
HAG	277	"553,210"	232	"443,040"
HAI	17	"8,640"	27	"13,320"
HAP	172	"724,350"	331	"755,270"
HAS	206	"644,290"	203	"463,230"
HAX	55	"90,930"	67	"87,800"
HBC	45	"134,090"	50	"132,250"
HCM	89	"139,790"	97	"244,940"
HDC	85	"158,060"	93	"195,820"
HDG	31	"142,590"	50	"48,640"
HLA	533	"1,740,400"	231	"1,317,840"
HLG	150	"252,470"	61	"154,550"
HMC	133	"183,510"	89	"186,640"
HPG	95	"343,450"	112	"315,580"
HRC	53	"136,530"	87	"81,040"
HSG	182	"178,060"	151	"300,780"
HSI	64	"145,880"	64	"203,880"
