Symbol	BuyingOrders	SellingOrders	BuyQuantity	SellQuantity				
				
AAA	0	0	0	0
ACB	0	0	0	0
ADC	0	0	0	0
AGC	21600	208490000	0	0
ALT	0	0	0	0
ALV	0	0	2000	17020000
AME	0	0	0	0
AMV	0	0	0	0
APG	0	0	0	0
API	0	0	0	0
APP	0	0	0	0
APS	0	0	0	0
ARM	0	0	0	0
AVS	0	0	0	0
B82	0	0	0	0
BBS	0	0	0	0
BCC	0	0	0	0
BDB	0	0	0	0
BED	0	0	0	0
BHC	0	0	0	0
BHT	0	0	0	0
BHV	0	0	0	0
BKC	0	0	0	0
BLF	0	0	0	0
BPC	1100	9130000	0	0
BSC	0	0	0	0
BST	0	0	0	0
BTH	0	0	0	0
BTS	0	0	0	0
BVG	0	0	0	0
BVS	0	0	0	0
BXH	0	0	0	0
C92	0	0	0	0
CAN	0	0	100	2500000
CAP	0	0	0	0
CCM	0	0	0	0
CIC	0	0	0	0
CID	0	0	0	0
CJC	0	0	0	0
CKV	0	0	0	0
CMC	0	0	0	0
CMI	0	0	0	0
CMS	0	0	0	0
CPC	0	0	0	0
CSC	0	0	0	0
CT6	0	0	0	0
CTA	0	0	0	0
CTB	0	0	0	0
CTC	0	0	0	0
CTM	0	0	0	0
CTN	0	0	0	0
CTS	0	0	0	0
CVN	0	0	0	0
CVT	0	0	25000	304100000
CX8	0	0	0	0
D11	0	0	0	0
DAC	0	0	0	0
DAD	0	0	0	0
DAE	0	0	0	0
DBC	0	0	0	0
DBT	0	0	0	0
DC2	0	0	0	0
DC4	0	0	0	0
DCS	0	0	0	0
DHI	0	0	0	0
DHT	0	0	0	0
DID	0	0	0	0
DIH	0	0	0	0
DL1	0	0	0	0
DLR	0	0	0	0
DNC	0	0	0	0
DNM	0	0	0	0
DNP	0	0	0	0
DNY	0	0	0	0
DPC	0	0	0	0
DST	0	0	0	0
DTC	0	0	0	0
DXP	1000	32100000	0	0
DZM	0	0	0	0
EBS	0	0	0	0
ECI	0	0	0	0
EFI	1100	8240000	0	0
EID	0	0	0	0
GBS	0	0	0	0
GFC	0	0	0	0
GGG	200	1340000	0	0
GHA	100	1090000	0	0
GLT	0	0	0	0
HAD	0	0	0	0
HAT	0	0	0	0
HBB	0	0	0	0
HBD	0	0	0	0
HBE	0	0	0	0
HBS	0	0	0	0
HCC	0	0	0	0
HCT	0	0	0	0
HDA	0	0	0	0
HDO	0	0	0	0
HEV	0	0	0	0
HGM	0	0	0	0
HHC	0	0	0	0
HHG	0	0	0	0
HHL	0	0	0	0
HJS	0	0	0	0
HLC	0	0	0	0
