Symbol	BuyingOrders	BuyQuantity	SellingOrders	SellQuantity
				
				
ABT	620	"34.820"	"1.500"	"85.250"
ACL	2700	"67.020"	0	0
AGF	0	0	"68.800"	"2.261.084"
ANV	2000	"31.600"	0	0
ASM	200	"9.040"	"10.000"	"452.500"
ASP	200	"2.600"	0	0
BAS	2000	"26.850"	0	0
BCI	80000	"4.320.000"	"17.040"	"936.630"
BMC	3400	"185.300"	0	0
BMI	39000	"817.401"	"18.430"	"386.460"
BMP	2000	"128.950"	"20.160"	"1.268.740"
BVH	178510	"6.118.871"	"77.000"	"2.620.046"
CII	111700	"4.290.746"	"10.400"	"400.760"
CLC	14210	"326.830"	0	0
CMG	6700	"234.500"	0	0
CNT	0	0	"1.000"	"25.400"
CSM	3190	"205.565"	0	0
CTD	2000	"224.000"	0	0
CTG	55210	"1.542.880"	0	0
DCL	800	"42.400"	0	0
DCT	7200	"98.160"	0	0
DHA	560	"21.850"	0	0
DHG	1000	"118.000"	0	0
DIG	64030	"4.375.055"	500	"34.250"
DMC	800	"42.400"	0	0
DPM	116370	"3.720.606"	"41.860"	"1.343.294"
DPR	30930	"1.752.765"	"35.000"	"1.982.785"
DQC	9910	"325.048"	0	0
DRC	12550	"1.413.750"	"1.040"	"118.480"
EIB	354120	"8.174.915"	0	0
FPT	24280	"1.889.325"	"43.990"	"3.405.965"
GDT	3890	"83.708"	0	0
GMC	40	968	0	0
GMD	1560	"114.160"	"13.010"	"956.235"
HAG	118670	"9.172.685"	"33.500"	"2.585.800"
HAP	5200	"91.920"	"2.670"	"47.209"
HAX	30	474	0	0
HBC	0	0	500	"17.250"
HCM	40200	"2.188.400"	0	0
HDC	7000	"393.500"	400	"22.600"
HPG	28920	"1.682.860"	0	0
HVG	2000	"99.000"	0	0
ICF	3000	"41.700"	0	0
IFS	200	"1.740"	0	0
IMP	600	"39.300"	"12.180"	"788.225"
ITA	14390	"462.058"	0	0
ITC	1280	"99.700"	0	0
KBC	123560	"6.925.860"	0	0
KDC	14800	"905.800"	0	0
LCG	0	0	"34.190"	"2.410.395"
LSS	1000	"43.100"	0	0
MCG	2000	"66.000"	0	0
MCP	4500	"57.600"	0	0
MCV	0	0	"1.500"	"25.650"
MPC	1300	"38.090"	0	0
MSN	20	700	"2.000"	"70.000"
NBB	0	0	"36.200"	"2.398.500"
NKD	300	"11.490"	"39.800"	"1.549.130"
NSC	670	"24.254"	0	0
NTL	900	"113.400"	"19.900"	"2.466.900"
OPC	800	"40.000"	0	0
PAC	1800	"145.800"	0	0
PET	3000	"61.600"	500	"9.850"
PHR	210	"7.581"	0	0
PNJ	42900	"2.351.375"	"41.000"	"2.236.235"
PPC	41460	"760.018"	"1.000"	"18.500"
PVD	89170	"5.323.050"	"38.000"	"2.258.325"
PVF	27480	"790.632"	0	0
PVT	15030	"195.893"	"260.000"	"3.379.615"
REE	9230	"367.785"	"1.000"	"40.100"
RIC	800	"25.202"	0	0
SAM	2500	"69.000"	0	0
SBT	3400	"38.080"	0	0
SC5	300	"16.800"	"1.500"	"83.250"
SFC	0	0	120	"5.400"
SGT	270	"5.994"	"3.530"	"79.679"
SJS	7730	"546.315"	"31.800"	"2.242.025"
SSC	400	"17.880"	0	0
SSI	15090	"1.225.005"	"84.500"	"6.845.885"
STB	15740	"351.002"	0	0
SZL	500	"34.250"	"35.000"	"2.376.430"
TAC	0	0	"1.000"	"26.500"
TBC	2400	"45.400"	0	0
TDH	2400	"142.300"	800	"47.700"
TPC	5000	"67.000"	0	0
TRA	800	"42.400"	0	0
TRC	640	"37.760"	0	0
TRI	0	0	"1.000"	"8.100"
UIC	1000	"19.000"	"1.590"	"30.210"
VCB	37270	"1.596.580"	"52.000"	"2.212.882"
VFC	29300	"310.240"	"24.400"	"258.605"
VHC	800	"37.600"	0	0
VIC	18740	"1.784.950"	"24.320"	"2.251.595"
VIP	3600	"72.820"	"65.510"	"1.327.612"
VIS	0	0	"1.700"	"140.700"
VKP	500	"4.600"	0	0
VNA	3000	"47.400"	0	0
VNM	155590	"11.834.640"	"40.000"	"3.041.500"
VSC	1900	"161.305"	0	0
VSG	3000	"30.640"	0	0
VSH	57100	"890.860"	"150.000"	"2.343.274"
VTO	12780	"142.640"	0	0
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
