Symbol	BuyingOrders	BuyQuantity	SellingOrders	SellQuantity
				
				
ACB	"1,683"	"3,085,800"	"1,167"	"3,340,300"
AGC	17	"21,300"	23	"22,700"
B82	11	"13,600"	12	"8,200"
BBS	4	"3,000"	9	"3,200"
BCC	208	"398,600"	207	"373,700"
BHC	17	"13,100"	27	"17,600"
BHV	16	"10,700"	12	"7,800"
BLF	76	"66,200"	43	"93,300"
BPC	5	"6,800"	6	"4,000"
BST	4	"1,800"	2	"2,700"
BTH	1	300	9	"11,600"
BTS	76	"83,300"	80	"95,800"
BVS	420	"430,300"	220	"475,600"
C92	4	500	7	"2,100"
CAN	17	"12,400"	17	"16,600"
CAP	5	"5,600"	1	200
CCM	9	"12,300"	11	"9,500"
CDC	74	"123,700"	55	"115,900"
CIC	4	"3,500"	15	"11,800"
CID			4	"2,700"
CJC	1	"2,000"	3	"1,500"
CMC	68	"97,700"	49	"101,200"
CTB	3	"3,600"	7	"2,500"
CTC	8	"6,800"	9	"7,600"
CTN	19	"15,300"	18	"19,000"
DAC	10	"6,600"	15	"5,100"
DAE	1	"1,200"	6	"4,800"
DBC	171	"327,400"	135	"247,000"
DC4	21	"17,000"	26	"36,400"
DCS	44	"37,100"	47	"53,300"
DHI	2	400	7	"2,200"
DHT	7	"13,500"	18	"10,300"
DNP	35	"38,600"	27	"46,500"
DPC	11	"5,300"	10	"6,800"
DST	6	"3,600"	9	"8,900"
DTC	18	"8,200"	23	"13,600"
DXP	54	"32,300"	41	"30,400"
DZM	5	600	30	"32,800"
EBS	54	"66,300"	40	"49,000"
ECI	11	"7,900"	9	"5,400"
GHA	8	"3,200"	5	"4,100"
HAI	12	"7,000"	9	"5,500"
HBD	6	"10,500"	11	"15,100"
HBE	1	200	5	"2,400"
HCC	12	"9,500"	14	"8,200"
HCT	2	300	4	900
HEV	7	"3,700"	2	600
HHC	3	"2,600"	4	"1,700"
HJS	10	"8,600"	5	"3,800"
HLC	4	"2,800"	4	"5,600"
HLY	22	"8,600"	13	"5,700"
HNM	130	"130,100"	74	"135,800"
HOM	87	"122,600"	106	"159,000"
HPC	374	"480,000"	257	"539,400"
HPS			6	"1,200"
HSC				
HTP	9	"4,100"	21	"19,300"
HUT	33	"42,900"	19	"25,900"
HVT	4	"2,200"	11	"8,200"
ICG	97	"124,400"	103	"125,000"
ILC	12	"13,300"	19	"24,300"
KBC	443	"892,000"	500	"807,600"
KKC	63	"85,100"	59	"102,400"
KLS	"1,417"	"2,068,200"	687	"2,382,400"
KMF	10	"4,400"	15	"7,600"
L18	20	"24,600"	23	"28,000"
L43	11	"14,300"	9	"8,800"
L61	3	"1,500"	12	"22,100"
L62	4	500	9	"6,500"
LBE	8	"5,300"	5	"6,500"
LTC	8	"3,500"	14	"5,700"
LUT	6	"6,200"	16	"5,600"
MCO	3	"2,800"	20	"20,900"
MEC	13	"14,100"	13	"14,900"
MIC	14	"7,400"	23	"23,600"
MKV	5	"2,700"	10	"6,200"
MMC	1	300	11	"8,500"
NBC	39	"23,600"	25	"19,600"
NGC	2	"2,100"	8	"5,400"
NHC	8	"9,300"	11	"15,900"
NLC	9	"9,800"	18	"12,400"
