Symbol	BuyingOrders	BuyQuantity	SellingOrders	SellQuantity		
ACB 	"4,478"	"9,821,600"	"1,604"	"6,757,400"
AGC 	71	"72,900"	62	"65,900"
B82 	28	"32,000"	18	"23,000"
BBS 	46	"52,800"	32	"46,900"
BCC 	830	"1,540,900"	488	"1,385,800"
BHC 	110	"162,400"	64	"80,800"
BHV 	35	"20,200"	15	"12,100"
BLF 	105	"223,500"	59	"130,300"
BPC 	86	"135,500"	19	"46,700"
BST 	8	"5,000"	26	"19,700"
BTH 	31	"32,100"	18	"17,600"
BTS 	669	"1,082,300"	294	"675,000"
BVS 	936	"2,336,000"	344	"1,359,600"
C92 	32	"40,800"	28	"38,400"
CAP 	53	"61,400"	23	"31,300"
CCM 	45	"19,800"	27	"22,000"
CDC 	152	"234,800"	81	"230,700"
CIC 	51	"40,800"	42	"62,400"
CID 	12	"10,300"	9	"9,200"
CJC 	10	"2,700"	16	"4,000"
CMC 	55	"73,800"	36	"45,700"
CSG 	403	"1,271,200"	72	"151,500"
CTB 	16	"7,400"	9	"2,600"
CTC 	41	"127,500"	32	"31,100"
CTN 	80	"113,600"	55	"101,200"
DAC 	41	"15,800"	22	"13,800"
DAE 	19	"32,600"	5	"16,300"
DBC 	528	"1,026,000"	372	"1,003,600"
DC4 	55	"59,000"	20	"20,900"
DCS 	162	"267,900"	118	"222,300"
DHI 	24	"17,000"	14	"10,000"
DHT 	135	"118,400"	31	"79,200"
DPC 	92	"177,500"	3	600
DST 	32	"26,900"	31	"24,100"
DTC 	30	"12,100"	14	"5,400"
DXP 	79	"523,500"	17	"17,200"
DZM 	360	"650,400"	151	"392,900"
EBS 	187	"224,000"	111	"183,500"
GHA 	31	"46,700"	7	"6,100"
HAI 	70	"119,000"	46	"87,800"
HBE 	32	"24,500"	17	"8,600"
HCC 	40	"83,000"	29	"34,600"
HCT 	17	"204,500"	6	"21,000"
HEV 	29	"29,500"	13	"10,600"
HHC 	28	"57,900"	40	"42,600"
HJS 	43	"66,900"	44	"47,800"
HLC 	20	"9,300"	19	"17,700"
HLY 	45	"22,200"	24	"15,100"
HNM 	335	"974,900"	198	"464,900"
HPC 	"1,436"	"2,000,900"	555	"1,477,600"
HPS 	36	"33,800"	17	"17,200"
HSC 	2	"1,100"		
HTP 	48	"44,100"	40	"45,000"
HUT 	41	"167,900"	6	"5,400"
HVT 	43	"44,000"	32	"42,100"
ICG 	312	"569,600"	143	"446,100"
ILC 	87	"94,700"	51	"91,000"
