Symbol	BuyingOrders	BuyQuantity	SellingOrders	SellQuantity
				
				
ACB	0	0	0	0
AGC	0	"28,700"	60	"63,500"
B82	0	"7,000"	24	"17,800"
BBS	0	"10,800"	12	"5,800"
BCC	0	"730,900"	652	"1,421,300"
BHV	0	"2,200"	13	"5,500"
BLF	0	"171,400"	80	"184,900"
BST			6	"5,700"
BTH				
BTS		"288,700"	257	"660,200"
BVS	61		477	"2,620,500"
C92	13		11	"13,400"
CAP	2	400		"3,500"
CCM	17	"37,200"		"5,000"
CDC	44	"36,100"	34	
CIC	10	"10,000"	23	"20,200"
CID	6		7	"1,700"
CJC	4	"4,100"	8	"5,400"
CMC	30	"24,800"	31	"35,700"
CSG	82		113	"298,200"
CTB	4	"4,300"		"4,000"
CTC	2		4	"2,200"
CTN	30	"47,400"		"42,800"
DAC	32	"19,800"	17	"12,800"
DAE	4	"7,800"	14	"7,800"
DBC	132	"251,000"	177	"298,900"
DC4	9	"9,100"		"24,700"
DCS	24	"26,200"	18	"26,100"
DHI		"2,500"	10	"4,800"
DHT	8	"8,400"	17	
DST	13	"12,800"	15	"18,800"
DTC		"34,600"	73	"29,700"
EBS	66		48	"42,900"
GHA	17	"11,700"	12	"7,700"
HAI	6	"8,300"	8	
HBE	2	800	13	"3,200"
HCC	6	"3,500"	11	"11,800"
HCT	4	"4,600"	13	"7,700"
HEV	5	"3,600"	1	400
HHC	28	"26,300"	14	"15,000"
HJS	17	"17,200"	14	"7,400"
HLC	4	"1,200"	5	"4,700"
HLY	23	"12,900"	17	"8,800"
HNM	180	"232,300"	106	"295,600"
HPC	66	"76,200"	216	"613,100"
HPS	8	"9,800"	9	"3,700"
HSC				
HTP	6	"4,300"	18	"22,300"
HUT	12	"18,500"	21	"40,100"
ICG	141	"384,400"	59	"300,800"
ILC	13	"8,500"	12	"10,800"
KBC	234	"184,000"	235	"226,900"
KKC	50	"51,200"	104	"193,500"
KLS	216	"356,400"	962	"3,876,200"
KMF	12	"11,200"	16	"38,900"
L18	32	"40,000"	21	"45,100"
L43	6	"12,300"	9	"7,700"
L61	24	"19,400"	22	"24,700"
L62	8	"8,600"	3	"2,300"
LBE	7		8	"6,400"
LTC	6	"4,200"	19	"9,600"
LUT	3		4	"7,200"
MCO	5	"1,400"	13	"5,600"
MEC	20	"51,000"	63	"59,600"
MIC	34	"40,400"	63	"38,700"
MKV	7		12	"8,100"
MMC	25	"7,800"	12	"7,700"
NBC	84	"62,500"	86	"92,400"
NGC	3	700	1	200
NLC	36	"29,300"	35	"82,900"
NPS	8	"3,500"	3	"1,300"
NST	8	"6,300"	2	"2,100"
NTP	217	"381,400"	207	"392,600"
NVC	16	"34,700"	27	"29,300"
ONE	26	"31,300"	20	"24,200"
PAN	149	"137,700"	168	"262,900"
PGS	39	"39,700"	32	"37,800"
PJC	11	"4,200"	8	"2,900"
PLC	38	"24,900"	21	"24,900"
POT	65	"91,700"	47	"76,700"
PPG	30	"24,800"	30	"25,200"
PSC	36	"15,800"	13	"14,900"
PTM			1	"1,000"
PTS	10	"7,500"	34	"33,500"
PVA	50	"42,100"	45	"45,700"
PVC	136	"195,900"	101	"153,900"
